test,rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
,8.697353010034943,5.084079945903094,0.6561481948755008,0.24158146504324485,inf,96.9750815172302,0.8008896507803868,0.858083597325044,0.7333685964764001,0.20616425233825106
,4.700512955762667,2.4472780596244106,0.8623183929677888,0.12058558926144132,0.05145137233517247,22.94997100327713,0.9667663099838811,0.9914860882391876,0.6442407424559813,0.11166402046570559
,4.264640243573475,2.2025835488131285,0.8857904732517414,0.11032839296473632,0.04684235016403961,18.836174479740382,0.9748790140074166,0.9939339620112144,0.35025236745157795,0.11374788983244286
,3.999663457081248,2.0025299202225253,0.9045911971559641,0.09943458278370969,0.042338716316805025,16.55960882505236,0.97942835636887,0.9947994044746467,0.3550246989116128,0.12652575720561257
,3.8628466154819727,1.903689845564575,0.9134242237382109,0.09427633637126728,0.04011323140396059,15.483607404388332,0.9818530234913754,0.9952171407693305,0.3559857302124303,0.12747586582302878
,3.6109558840646647,1.7055713534867085,0.9303975965483223,0.08330093071210223,0.03545472810816499,13.60263491045463,0.9849454520119318,0.9957594720675002,0.34280827514360124,0.1410907052015801
,3.5648212937341346,1.671752911736144,0.9323166360187558,0.0817821822759759,0.03482509901410626,13.265112096861309,0.9853182776145597,0.9957485426438083,0.3576770018548362,0.12276672607092061
,3.5597732879000565,1.6480949357420744,0.9339389456502695,0.08027248739163854,0.034254398075354464,13.349233440570629,0.9851797452943564,0.9955264966057189,0.3514277206735423,0.12534623264822753
,3.5163414040463783,1.631755423655047,0.9346768967476677,0.08013748060597276,0.03416641530384316,12.965661860590776,0.9856767977270328,0.9958507556168561,0.35595945434177156,0.13076490964105947
,3.523337421135384,1.6147488462457402,0.9373575765527561,0.07819252402537401,inf,13.02803020220652,0.9861141077570474,0.995806464212452,0.3690503855131091,0.11190451621463228
,3.4891911402151394,1.5937063346576663,0.9378042097867064,0.07738796895865277,inf,12.76709172188502,0.9863479081450647,0.9959616756118406,0.3450626329061059,0.13464813269280174
,3.4563250261578644,1.5832534437018482,0.9389247852480245,0.07706729017865716,inf,12.551231805963567,0.9865629277289375,0.9959198272982471,0.35271779739375514,0.129461159038571
,3.4795042830519174,1.5969466841258397,0.9376778065424541,0.07785353122554739,inf,12.755513376333704,0.9863154266851869,0.9958465052238004,0.3600528189011778,0.12408977465407063
,3.4180205578983736,1.5590296253719815,0.9394349245433987,0.07585537907577605,inf,12.23651747890574,0.9867999417680128,0.9961041594486745,0.3649696150243777,0.11845430841836348
,3.439563205301337,1.5600204570157596,0.9409262649213691,0.07565569873998407,inf,12.405680589815146,0.9868501474445746,0.9959360209400047,0.3530643142604091,0.1289766449795867
