rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
5.118634094621926,2.7597343039036843,0.8285042575434066,0.1402695218131571,inf,31.909565564902824,0.9383029702917111,0.9695206068173757,0.34804276645011434,0.19249268383986168
3.912710472628048,1.8993699575086065,0.9071376970074186,0.09641604212365897,inf,15.98447568498497,0.9785138366756848,0.9936159078347612,0.36632374820871183,0.18857046167561015
3.642318164962148,1.7059370182664284,0.9247751335821082,0.0856885075438131,inf,13.888254654468644,0.98297293276824,0.9946714193239011,0.3916282952435546,0.17093027691857363
3.456032931934565,1.576983519830733,0.9362945904516361,0.07839152342730783,inf,12.496685882317784,0.9855305727692155,0.9953842597102087,0.3811496864140617,0.18371610237418523
3.340241967672751,1.4930789710211294,0.9426094641315953,0.07370179503659001,inf,11.674949266187005,0.9870312927221513,0.9957482383855535,0.3768640318891467,0.1848466053208803
3.0775993148247416,1.2807869888354948,0.9553270665876136,0.0610672508399603,inf,9.9609033123213,0.9890419326205279,0.9962123093083626,0.3736154357758397,0.1854248520197691
3.008630979588379,1.2328894942142106,0.957988842361616,0.05865551905465596,inf,9.504902258519854,0.9894826126342179,0.9963389152155103,0.3699893611581422,0.1871616325421167
2.967707271754951,1.2042958579861467,0.9597516718838093,0.05718441558605607,inf,9.243737667491994,0.9897595268606878,0.9964224039971338,0.3696858110440599,0.18620393699697624
2.9250965330082943,1.178753018733741,0.9611255135532495,0.05583276482753613,inf,8.96326096545704,0.9900991056742409,0.9965121902261775,0.38525409159190305,0.17113292008133563
2.901045866889067,1.1644404598939142,0.9620241060693081,0.055191124924171754,inf,8.831475248470793,0.9902205345039866,0.9965270391019643,0.37172186328935125,0.18407258350917693
2.8698766468991233,1.1376678654101535,0.9629212159888713,0.05352386105050173,inf,8.642340173988906,0.9904022739111444,0.9965845710408826,0.37198569834127,0.18560523643796184
2.8596165667746853,1.131159568659155,0.9632028174869953,0.053176140884671826,inf,8.574337059955885,0.9904046722549975,0.9965767717264854,0.37216682447646643,0.18516934192888151
