rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
5.122416666753675,2.752031958918598,0.8319089398870008,0.13898895465746033,inf,32.31460465781057,0.9381445311403772,0.9684245018316392,0.40455558829140875,0.29497509868765365
3.941333673085088,1.9111754605083762,0.9058932676114305,0.09639697963834544,0.04089922742408096,16.245582244534013,0.978303846799219,0.9934203820692856,0.3808757580794588,0.31934999923275276
3.6937525243073654,1.7277521939941698,0.9223942719401534,0.08724275185150512,0.03713437321059437,14.344343286912753,0.9821340192145794,0.9942419779058684,0.30411244608154536,0.322542259381879
3.5511842053113285,1.621478740821948,0.9313232685506285,0.08188891971363321,inf,13.286093905292592,0.9841844214688529,0.9946680542472252,0.24312817589496058,0.37802615137348083
3.415124590744737,1.5338222614665837,0.9380802164087624,0.07743275649471482,inf,12.304879982683875,0.9857216591588598,0.9950939954485822,0.43323252081978936,0.24448646440017244
3.182192627246227,1.339933063710467,0.9504144630844822,0.06605655364192851,inf,10.745814558298576,0.9878288242925956,0.995627846708997,0.4338082614980234,0.2550222204192014
3.072437798216776,1.2737081622898587,0.9547830965209534,0.06241698831356418,inf,9.985257639987095,0.9886807607919007,0.9959401974985915,0.6159164297812447,0.1490573712882438
3.028974743888472,1.2389384497805334,0.9569844419722628,0.06040249029238272,inf,9.716750532413093,0.9891166595450599,0.9960450639442546,0.2830070178522426,0.3388803988138944
2.976402048190433,1.2121537474228243,0.958598016950109,0.05896035156841242,inf,9.339671608230317,0.9894658460796283,0.9961880651749772,0.20811662812268117,0.3974850679758237
2.946680994175321,1.192245334382972,0.9601672727749998,0.057664583283523294,inf,9.158857241914548,0.989651101138344,0.9962239522809824,0.3780423286408064,0.283617331731844
2.8908892010905114,1.1610820960044903,0.9604947776929258,0.05613899448074291,inf,8.773927102936305,0.9898235418818017,0.9963314507234806,0.26681793544278165,0.3753738690951709
