rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
4.8659769334344025,2.4996540539840457,0.8555042798482435,0.12485867358760522,inf,28.470748590079932,0.948614493478384,0.9738624771336508,0.2977533154248996,0.3117992307835522
3.8360503161595867,1.7919705070599847,0.9169908365110535,0.0891520159290061,inf,15.407091560633418,0.9808123767167852,0.9939218296772868,0.29327589318411224,0.3341374890844676
3.5766949124652467,1.6209668180797743,0.9326063422703351,0.08025843651066011,inf,13.401144562196713,0.9845616470908848,0.9948518531912642,0.30199148703133216,0.3264587103285197
3.601838617299964,1.634721731102717,0.9320299722429936,0.08086396877552218,inf,13.602432813003585,0.9843312961845263,0.9948511419483909,0.6493365408444136,0.14356191546427505
3.4481808160437843,1.5325892602239752,0.939475720398673,0.0753165035486134,inf,12.460347436038663,0.9859808643960392,0.9951947355217977,0.2905456039557287,0.34391260168674787
3.3276025191017378,1.4545149744998216,0.9459859142374989,0.0711892769598076,inf,11.580597760887898,0.9872257101818906,0.9954829691818092,0.39281641100558795,0.2847521282682069
3.057599677692453,1.2490679082837188,0.9575549487918417,0.0594316055702524,inf,9.802477274253025,0.9891830044806782,0.9959879731763042,0.2765756873476943,0.36239145482482027
2.984599326472261,1.1965495574053524,0.9608138250249258,0.056545427980038795,inf,9.365082335695101,0.9896367583175778,0.9960778034261052,0.2853224636547463,0.3396846739096218
2.9858611953221192,1.1973070192067798,0.9605099909711792,0.056649505530733016,inf,9.384645779283595,0.9896505234940371,0.9960921362301259,0.2972336150434458,0.33849906785740613
2.938817147657117,1.169481422514665,0.9620024097139972,0.05518281374660233,inf,9.057748000573806,0.9898231446904862,0.9961792622720942,0.332503571211688,0.3223739746680399
2.919787607949561,1.1533987686750289,0.9628227571748278,0.054329620641095644,inf,8.974229650011166,0.9900317978953489,0.9962339196542815,0.2243688887735106,0.3987633561806444
2.893620292316324,1.1347700649590067,0.963818647600362,0.05340628178395139,inf,8.798127171274023,0.9901588939807573,0.9962538721170833,0.37527750101661245,0.2735888564911882
2.8590434924865664,1.111431243208882,0.9645391817540117,0.05208853256005695,inf,8.587070417858383,0.9902906214480287,0.996300424706252,0.317625916213302,0.3390850050326776
2.8503374972322355,1.1065339679106787,0.965032007230684,0.051809880160757715,inf,8.530599008125044,0.9903267612308682,0.9963294011057207,0.307125094152618,0.3503895455365304
