test,rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
,8.53168723997974,4.970648480498272,0.6489519613175538,0.24002752371904226,inf,90.99927407877456,0.8039728794050855,0.8669610373894282,0.2774616207925466,0.18087215456857644
,4.784111406445136,2.509281472755387,0.8524725593294562,0.12796264286170514,0.05363161989672172,23.801846154582034,0.9614081195267182,0.9885825421051254,0.34387067422646705,0.14120520728925703
,4.356885394355152,2.2499755579364344,0.8764484859383113,0.1154215759365263,0.04845021366953082,19.686202327218417,0.970473223934235,0.9916856963021488,0.3777467460959942,0.13151692819416172
,4.10835650935677,2.0879987102647783,0.8931638271464369,0.10763342272624238,0.04520648633696287,17.516615730936785,0.9747849970304128,0.9925759700249422,0.3796760756932339,0.12015708876244816
,3.9978513245423932,1.9823223765153624,0.9034157758813613,0.10048467514339597,inf,16.588822657615346,0.9775905594413663,0.9933637641030362,0.37860317071534844,0.1370605736474996
,3.7216454999890174,1.776498364685558,0.9195588637089384,0.0894923994474621,inf,14.4486437033276,0.9810771405920826,0.9943650334481584,0.36664150660868555,0.140103654201096
,3.6809955517078197,1.7355777073213636,0.9229510846281334,0.0870664322681793,inf,14.191028275031654,0.9817691720818168,0.9944279566927104,0.39781990860075445,0.11503502187457573
,3.6468692390309574,1.6921081527611677,0.9265980469367866,0.08385578400574893,inf,13.963375745252199,0.9823156611866933,0.9944848724417449,0.35892300879641753,0.14616950352986655
,3.6239589633963107,1.6787424357552971,0.9285838007926941,0.08286668554196355,inf,13.798694943076363,0.9827847027420293,0.9946632729828262,0.3984961782292659,0.11542238705400107
,3.5749333859966828,1.652119749346153,0.9292946847548615,0.08197864524968132,inf,13.398422832970201,0.9833105130983948,0.9948662871707848,0.37753820035384666,0.13198633726348305
,3.5529430056544036,1.6288223925676002,0.9323799877287046,0.08015581552325175,inf,13.291236364515123,0.9838989982986348,0.9949793774340656,0.3885530281374036,0.12866161385340136
,3.5576804261171997,1.6264767928335913,0.9318533828996933,0.08012370777206912,inf,13.263868709693208,0.9838286031335512,0.994965290421769,0.38950923752285627,0.11536347910849816
,3.547823220361955,1.620291809528922,0.9318863558820416,0.07973397497569626,inf,13.220842960887998,0.9836882535834115,0.9950523361107769,0.3943081003200349,0.12309171304994543
,3.5273827557781106,1.6182906094636573,0.9321398709771201,0.07990078317322401,inf,13.05857083161416,0.9841337497043661,0.9949838092937562,0.3499654405422897,0.1622290238858037
,3.538299501820046,1.6087756519092389,0.933231606223669,0.07889736418562811,inf,13.084557641787486,0.9841774950664784,0.9949473720433823,0.3816120556715158,0.1373742125844418
