rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
5.1450043731453645,2.751392758225044,0.8309120590226029,0.13769934704735753,inf,32.19222474179388,0.9390697661659654,0.9700974709471544,0.6195988669065992,0.13020324414158982
3.9206295833775853,1.9006644862822677,0.9069349027071517,0.09560084682136027,0.040628331367398976,16.093455684785674,0.9784000883235597,0.9934989493302521,0.31109828408650964,0.3259639530663634
3.653594414161837,1.710823438623939,0.9233923611967303,0.08596489620650104,inf,14.018022198527236,0.9827111646931859,0.9945734137939197,0.20112740273650548,0.4109974267652212
3.4947898475599506,1.5882383459143883,0.934615927800285,0.07858571805620927,inf,12.812354276953142,0.9851916813063244,0.9951982666698953,0.2592324346855002,0.40862965626961395
3.450282308334006,1.5602342223747039,0.9379009659740104,0.07684924328929879,inf,12.580043113959729,0.9859625058802832,0.9953600873973245,0.3116009541921721,0.3529297725727145
3.090396063425803,1.2913604499163245,0.9543621623589558,0.061647846102605354,inf,10.03558382275423,0.9888806002653137,0.9961740183581577,0.20606019720836558,0.41170712312918933
3.0063287665231675,1.2367699592053174,0.9578706489303576,0.058728123796543144,inf,9.489644980349421,0.9894884947425183,0.9963702774655177,0.949194915952017,0.2636703107435227
2.9576115579108766,1.2076847375320425,0.959420590273579,0.05729959419307141,inf,9.173745474185026,0.9897818070851258,0.9964155207871929,0.19934789149248724,0.4058468465758605
2.9534293886370926,1.2066206350639346,0.9592425967952228,0.05729426975692327,inf,9.1602236579335,0.989684673055668,0.9964141072417574,0.2899001096837516,0.3449366444847943
2.9264532055631096,1.188114764438529,0.9601999729066352,0.05637896337389977,inf,8.982515782838464,0.9897589193023046,0.9964205726950977,0.30701381909138714,0.31716057244192286
2.896801861725899,1.167014231224943,0.9615168204559734,0.0552617346779688,inf,8.800353779802446,0.990078968707048,0.9964900190940905,0.29068213786283886,0.3444929527396822
2.871483942695351,1.1441187932364802,0.9623585747164964,0.05392246025771675,inf,8.67432649579214,0.9901869718943489,0.9965361354757057,0.625425316867045,0.1440009756451213
2.856229785503568,1.1358091136329282,0.9626204964081936,0.0534658407867353,inf,8.568976404296855,0.9902553254610238,0.9965638653388655,0.5505370424459795,0.1802018420418081
