rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
5.081709966308472,2.7338543214046167,0.8328660314792476,0.13854558224363536,inf,31.8914860717634,0.9384243713106362,0.9678195556256121,0.2928750408933541,0.31895639124545944
3.8854871590267095,1.8854484451027256,0.9073018385548977,0.09552301031331308,0.04046960873017511,15.780152414868677,0.9784042302028233,0.99346249882535,0.2246660667577441,0.3858803198731237
3.6475647611262407,1.7096952101849394,0.9232802421546928,0.08659214521919024,0.03675647458703599,13.969877997645376,0.9823309180782888,0.9943282564731154,0.20870658762624236,0.396467653000531
3.6558499218559284,1.714424900718611,0.922819043612625,0.08693438133412787,inf,14.036073931938235,0.9821490554104416,0.9942909863754458,0.3917437826506583,0.2394765580061679
3.5152238967366434,1.607705955808314,0.9314608058946502,0.0814779800493385,inf,13.030385647471169,0.9841050009193937,0.9946844468090659,0.2609852670539089,0.3692162569306708
3.382414801549119,1.52643293916375,0.9389810202132114,0.07638150218884332,inf,12.025074578252292,0.9860849012527418,0.9953603670158384,0.35652711334827003,0.31129081825424715
3.102289327941042,1.3027432067944753,0.9538677484098937,0.06317011205706945,inf,10.158586675784417,0.9886909459619747,0.9960874266513673,0.3304658186424909,0.32944647233386803
3.0029936245533237,1.2447997954204049,0.9570673333047346,0.06032294993375962,inf,9.500097246171277,0.9892724819221577,0.9962637542902429,0.29159127574075705,0.33423198328404163
2.9797746175337783,1.2206799168046407,0.9582581368840299,0.05898745311201351,inf,9.363918384433456,0.9894195017354878,0.9962692107883415,0.19156280449097396,0.4193831293712705
2.9273941498303877,1.1915552110940413,0.960355074396627,0.05728638814381292,inf,8.99733811580674,0.9898607135820963,0.9964028852550404,0.7062909576606249,0.15312237015295005
2.9072905536106814,1.1772657280713081,0.9609793063140286,0.0567724488723443,inf,8.883394657191078,0.9899762007271564,0.9964311744734047,0.2951358758418253,0.3323687257183445
2.8823995966463323,1.1516937762518122,0.9619890050735768,0.05505721004562827,inf,8.762753602302432,0.9900654124384332,0.9964606943153512,0.19793532137305392,0.4128624040871559
